gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 compiled May 24 2018 13:23:59
gem5 started Sep 13 2018 17:56:19
gem5 executing on iris-13, pid 100680
command line: build/X86/gem5_NLNT.opt --debug-flags=AcclRecord configs/example/tca.py --cpu-type=DerivO3CPU --caches --l2cache --l1i_size=4MB --mem-size=8GB --cpu-clock=2GHz --sys-clock=2GHz --robNum=108 -c tests/tca/test_david

Global frequency set at 1000000000000 ticks per second
**** REAL SIMULATION ****
rand_acc is 0.000000
436003500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x400bff, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
436003500: system.cpu.fetch: after, Accl inst[1] checked: Instruction PC 0x400bff, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 38.
443164500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x404a50, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
443164500: system.cpu.fetch: after, Accl inst[1] checked: Instruction PC 0x404a50, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 38.
443168000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x404a50, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
443168000: system.cpu.fetch: after, Accl inst[1] checked: Instruction PC 0x404a50, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 38.
443174500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x404a50, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
443174500: system.cpu.fetch: after, Accl inst[1] checked: Instruction PC 0x404a50, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 38.
446357000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x4064d6, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
446357000: system.cpu.fetch: after, Accl inst[1] checked: Instruction PC 0x4064d6, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 38.
446361000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x4064d6, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
446361000: system.cpu.fetch: after, Accl inst[1] checked: Instruction PC 0x4064d6, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 38.
446367500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x4064d6, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
446367500: system.cpu.fetch: after, Accl inst[1] checked: Instruction PC 0x4064d6, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 38.
451806000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x409601, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
451806000: system.cpu.fetch: after, Accl inst[1] checked: Instruction PC 0x409601, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 38.
456313000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40bc37, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
457487000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40c6ab, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
457495500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40c6ab, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
463843500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40fdae, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
463852500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x40fdae, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
466606500: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x4111a1, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
466615000: system.cpu.fetch: before, Accl inst[0] encoutner: Instruction PC 0x4111a1, asm:   MULSS_XMM_M : mmulf   %xmm0_low, %xmm0_low, %ufp1, opclass is now: 7.
